track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key_x,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance,mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,instance_id,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key_y,liveness,loudness,mode_y,speechiness,tempo,obtained_date,valence,music_genre
Circles,Post Malone,1,2019,8,30,19664,16,2132335812.0,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,1415,1506951.1038869258,3,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,Post Malone,Post Malone,United States,,,,565958.0,25657627.0,False,,,,,,,,,,,,,,,,,
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668.0,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,4943,332070.94234270684,4,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Bruno Mars,Bruno Mars,United States,United States,rock; pop; new wave; funk; soul; pop rock; pop soul; r&b; contemporary r&b; synth funk; a filk artist,pop; rnb; male vocalists; r&b; slow jams; Bruno Mars; soul; american; singer-songwriter; seen live; funk; reggae; Hip-Hop; indie; romantic; rock; bruno; hip hop; USA; pop rock; alternative; male vocalist; blues; dance; rhythm and blues; hawaii; 2010s; sexy; soft rock; Grenade; folk; acoustic; english; Hawaiian; r'n'b,1841782.0,54224967.0,False,,,,,,,,,,,,,,,,,
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446.0,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5,3592,594420.5027839644,1,b4691384-50c3-4afd-9988-51d3ec5db65d,Hozier,Hozier,Ireland,Ireland,blues; indie rock; soul; blues rock; chamber pop; pop soul,blues; indie; soul; singer-songwriter; irish; seen live; indie rock; rock; alternative; folk; male vocalists; ireland; pop; blues rock; indie folk; gospel; chamber pop; pop soul; acoustic; indie pop; 10s; Folk Blues; soul rock; Hozier; Indie-Rock; folk rock; Europop; 2014; acoustic blues; All; bray,890930.0,22980157.0,False,,,,,,,,,,,,,,,,,
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268.0,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5,211,1740835.393364929,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515.0,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,827,423677.76904474,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836.0,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25,435,2906461.691954023,19,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,Bad Bunny,Bad Bunny,United States,,hip hop; latin urban; latin trap,,136813.0,2292156.0,False,,,,,,,,,,,,,,,,,
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206.0,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,8,3792900.75,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812.0,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10,1251,323850.36930455634,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611.0,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3,20102,56995.70246741618,1,109958eb-a335-4c5e-907e-597ff4c6af46,Creedence Clearwater Revival,Creedence Clearwater Revival,United States,United States,rock; american; 60s; folk rock; blues rock; country rock; southern rock; classic rock; rock and roll; roots rock; swamp rock; classic pop and rock; rock & roll,classic rock; rock; Southern Rock; 60s; folk; blues; Rock and Roll; blues rock; oldies; american; 70s; country rock; folk rock; creedence clearwater revival; swamp rock; country; roots rock; CCR; rock n roll; USA; hard rock; California; classic; male vocalists; americana; Creedence; indie,2362780.0,59206227.0,False,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,17b96086-e99d-4f56-8a1f-5f27a341f500,Plan B,Plan B,Germany,Germany; United Kingdom,,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,4743,113989.94012228548,1,daf84e36-f78e-4c94-a032-6aed138c0d34,Plan B,Plan B,United Kingdom,Germany; United Kingdom,hip-hop; british; uk; hiphop; rapper; hip hop rnb and dance hall; pop soul; uk hip hop,Hip-Hop; british; Grime; rap; hip hop; seen live; soul; Reggaeton; acoustic; UK hip-hop; pop; UK; indie; alternative; UK hip hop; dubstep; electronic; rock; Drum and bass; german; male vocalists; british-garage; london; british rap; punk; experimental; Deutschrap; rnb; brit-hop; english; electronica; jazz; britpop; latin; Retro; alternative hip-hop; plan b; indie pop; indie rock; singer-songwriter; funk; england; dnb; live; british soul; indie soul; Acoustic rap,611937.0,10232094.0,True,,,,,,,,,,,,,,,,,
